C,Si,Mn,Ni,Cr,Mo,V,Cu,W,Al,Ti,Nb,N,Co,P,S,AT (K),Ms (K)
0.04,0.1,1,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1213,756.93
0.04,0.1,1,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1203,757
0.04,0.1,1,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1193,757.05
0.04,0.1,1,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1183,757.1
0.04,0.1,1,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1173,757.15
0.04,0.1,1,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1163,757.2
0.04,0.1,1,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1153,757.24
0.04,0.1,1,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1143,753.88
0.04,0.1,1,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1133,746.51
0.04,0.1,1,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1123,737.31
0.04,0.1,1,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1113,726.69
0.04,0.1,1,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1103,714.9
0.04,0.1,1,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1093,702.04
0.04,0.1,1,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1083,688.14
0.04,0.1,1,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1073,673.19
0.04,0.1,1,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1063,657.14
0.04,0.1,1,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1053,639.89
0.04,0.1,1,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1043,621.31
0.04,0.1,1,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1033,601.3
0.04,0.1,1,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1023,579.64
0.04,0.1,1,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1013,555.83
0.04,0.1,1,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1003,529.87
0.04,0.1,1,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,993,501.81
0.04,0.1,1,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,983,471.75
0.04,0.1,1,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,973,439.73
0.04,0.1,1.5,0,0,0,0.1,0,0,0.02,0,0,0.01,0,0.02,0.02,1733,715.25
