C,Si,Mn,Ni,Cr,Mo,V,Cu,W,Al,Ti,Nb,N,Co,P,S,TAUST (K),Ms (K)
0.33,0.24,0.89,0.15,1.13,1.19,0.22,0,0,0,0,0,0,0,0.01,0.01,1268,614
0.33,0.16,0.39,3.6,1.09,0.72,0.12,0.09,0,0.009,0.002,0.013,0,0,0.01,0.01,1143,565
0.34,0.13,0.26,5.1,0.61,0.53,0.09,0,0,0,0,0,0,0,0.01,0.01,1113,553
0.34,0.27,0.62,2.8,1.22,0.5,0.09,0,0,0,0,0,0,0,0.01,0.01,1133,588
0.37,0.35,0.83,1.7,0.87,1.18,0.18,0,0,0,0,0,0,0,0.01,0.01,1133,556
0.38,0.26,0.46,0.45,2.94,0.45,0.12,0.05,0,0.01,0,0,0,0,0.01,0.01,1173,592
0.39,0.26,0.75,0.19,0.94,0.03,0.003,0.21,0,0,0.007,0,0.01,0,0.01,0.01,1148,660
0.39,0.39,0.77,0.14,0.96,0.08,0.05,0.21,0,0,0,0,0.01,0,0.01,0.01,1148,647
0.4,0.2,0.35,4.03,1.27,0.24,0.04,0.16,0,0,0,0,0,0,0.01,0.01,1133,541
0.4,0.2,0.35,4.03,1.27,0.24,0.04,0.16,0,0,0,0,0,0,0.01,0.01,1233,536
0.49,0.26,0.78,0.5,1.04,0.96,0.09,0,0,0,0,0,0,0,0.01,0.01,1153,565
0.52,0.29,0.7,1.12,1.09,0.43,0.14,0,0,0,0,0,0,0,0.01,0.01,1123,541
0.52,0.29,0.7,1.12,1.09,0.43,0.14,0,0,0,0,0,0,0,0.01,0.01,1223,533
0.56,0.31,0.67,1.53,0.76,0.24,0.14,0.06,0,0.01,0,0,0,0,0.01,0.01,1123,510
0.27,1.39,0.77,0.2,1.64,0.56,0.07,0,0,0,0,0,0,0,0.01,0.01,1173,620
0.3,1.4,0.69,1.71,0.78,0.31,0.04,0,0,0,0,0,0,0,0.01,0.01,1173,596
0.32,1.54,0.86,0.51,1.01,0.49,0.07,0,0,0.037,0,0,0.022,0,0.01,0.01,1148,609
0.33,1.62,0.86,1.8,0.81,0.4,0.07,0,0,0.04,0,0,0.02,0,0.01,0.01,1143,597
0.34,1.37,0.98,1.82,0.95,0.42,0.14,0,0,0,0,0,0,0,0.01,0.01,1172,573
0.35,1.55,0.86,0.21,1.21,0.58,0.06,0,0,0.037,0,0,0.021,0,0.01,0.01,1173,592
0.43,1.55,0.83,3.02,0.91,0.4,0.12,0,0,0,0,0,0,0,0.01,0.01,1129,568
0.51,0.27,0.72,0,0.94,0,0.2,0,0,0,0,0,0,0,0.01,0.01,1148,590
0.55,0.87,0.5,0.1,0.1,0.55,0.22,0,0,0,0,0,0,0,0.01,0.01,1163,565
0.64,0.82,0.73,0.05,1.26,0,0.16,0.03,0,0.006,0,0,0.012,0,0.01,0.01,1323,473
0.12,0.31,0.47,0.16,2.16,0.88,0.17,0.05,0,0.01,0,0,0,0,0.01,0.01,1203,654
0.12,0.26,0.65,0.01,1.16,1.02,0.26,0.02,0,0.01,0,0,0,0,0.01,0.01,1253,737
0.13,0.32,0.63,0.07,0.95,0.86,0.19,0,0,0,0,0,0,0,0.01,0.01,1233,705
0.15,0,0.92,0.88,0.5,0.46,0.06,0.32,0,0,0,0,0,0,0.01,0.01,1185,673
0.18,0.26,0.53,0,1,0.96,0.19,0,0,0,0,0,0,0,0.01,0.01,1223,697
0.21,0.97,0.48,2.92,0,0,1.09,0,0,0.01,0,0,0,0,0.01,0.01,1281,601
0.34,0,0.71,2.52,0,0.42,0.02,0,0,0,0,0,0,0,0.01,0.01,1172,592
0.2,0,0,0,12,1,0.3,0,0,0,0,0,0,0,0.01,0.01,1323,561
0.2,0.36,0.48,0.13,12.8,0.03,0.05,0.01,0,0.036,0,0,0,0,0.01,0.01,1303,562
0.2,0.33,0.51,0.49,11.8,1,0.31,0.03,0,0.01,0,0,0,0,0.01,0.01,1303,573
0.22,0,0.52,5.35,0,0.27,0.08,0,0,0,0,0,0,0,0.01,0.01,1172,621
0.44,0.3,0.2,0.31,13.12,0.01,0.02,0.09,0,0,0,0,0,0,0.01,0.01,1253,546
0.65,0.4,1.14,0,1.15,0,0.15,0,0,0,0,0,0.005,0,0.01,0.01,1223,473
0.65,0.4,1.14,0,1.15,0,0.15,0,0,0,0,0,0.005,0,0.01,0.01,1573,463
0.73,0.27,0.77,0.01,1.58,0.46,0.05,0.05,0,0.01,0,0,0,0,0.01,0.01,1158,463
0.67,0.75,1.39,0.32,0.03,0,0.19,0.4,0,0.002,0,0,0.01,0,0.01,0.01,1323,473
0.69,0.7,1.41,0.03,0.05,0,0.19,0.03,0,0.005,0,0,0.007,0,0.01,0.01,1323,485
0.28,0.16,0.39,0.06,2.35,0.06,0.53,0,4.1,0,0,0,0,0,0.01,0.01,1363,595
0.37,1,0.51,0,5.1,1.26,0.97,0,0,0,0,0,0,0,0.01,0.01,1353,573
0.37,1,0.51,0,5.1,1.26,0.97,0,0,0,0,0,0,0,0.01,0.01,1303,579
0.39,0.58,0.45,0.13,1.45,0.47,0.7,0,0.55,0,0,0,0,0,0.01,0.01,1323,630
0.39,0.58,0.45,0.13,1.45,0.47,0.7,0,0.55,0,0,0,0,0,0.01,0.01,1373,621
0.55,0.94,0.34,0.12,1.27,0.05,0.18,0,2.1,0,0,0,0,0,0.01,0.01,1153,594
0.55,0.94,0.34,0.12,1.27,0.05,0.18,0,2.1,0,0,0,0,0,0.01,0.01,1223,538
0.55,1,0.9,2.75,0.4,0.45,0.13,0,0,0,0,0,0,0,0.01,0.01,1144,543
0.75,0.22,0.31,0.2,4.25,0,1.45,0,17.65,0,0,0,0,0,0.01,0.01,1543,434
0.75,0,0.7,1.35,0.75,0.3,0.15,0,0,0,0,0,0,0,0.01,0.01,1116,508
0.85,0.3,0.31,0.18,4.15,4.79,2.01,0,6.34,0,0,0,0,0,0.01,0.01,1463,473
0.85,0.3,0.31,0.18,4.15,4.79,2.01,0,6.34,0,0,0,0,0,0.01,0.01,1523,422
0.87,0.27,0.32,0.11,3.99,0.8,2.52,0,11.91,0,0,0,0,0,0.01,0.01,1483,487
0.87,0.27,0.32,0.11,3.99,0.8,2.52,0,11.91,0,0,0,0,0,0.01,0.01,1543,427
0.8,0.23,0.3,0.3,4.34,0.78,1.52,0,17.89,0,0,0,0,4.52,0.01,0.01,1583,399
0.81,0.15,0.33,0.12,3.77,0.44,1.07,0,18.25,0,0,0,0,0,0.01,0.01,1503,438
0.81,0.15,0.33,0.12,3.77,0.44,1.07,0,18.25,0,0,0,0,0,0.01,0.01,1563,412
0.85,0.3,0.65,0.05,0.12,0.5,0.03,0.08,0,0.051,0,0,0,0,0.01,0.01,1103,481
0.85,0.3,0.65,0.05,0.12,0.5,0.03,0.08,0,0.051,0,0,0,0,0.01,0.01,1203,458
0.92,0.35,0.31,0,4.1,4.9,1.88,0,6.2,0,0,0,0,0,0.01,0.01,1513,422
1.06,0,0,0,4.43,0.44,2.32,0,10.32,0,0,0,0,3.92,0.01,0.01,1483,428
1.11,0.3,0.65,0.05,0.12,0.05,0.03,0.08,0,0.051,0,0,0,0,0.01,0.01,1103,450
1.11,0.3,0.65,0.05,0.12,0.05,0.03,0.08,0,0.051,0,0,0,0,0.01,0.01,1203,412
1.12,0.24,0.48,0.2,14.55,4.01,1.25,0,0,0,0,0,0,0,0.01,0.01,1368,485
2,0.3,0.65,0.05,0.12,0.5,0.03,0.08,0,0.051,0,0,0,0,0.01,0.01,1103,455
2,0.3,0.65,0.05,0.12,0.5,0.03,0.08,0,0.051,0,0,0,0,0.01,0.01,1203,390
2.08,0.28,0.39,0.31,11.48,0.02,0.04,0.15,0,0,0,0,0,0,0.01,0.01,1243,455
2.08,0.28,0.39,0.31,11.48,0.02,0.04,0.15,0,0,0,0,0,0,0.01,0.01,1323,361
0.14,0.43,1.5,0,0,0,0,0,0,0,0.14,0.023,0,0,0.01,0.01,1573,713
0.15,0.39,1.49,0,0,0.5,0.16,0,0,0,0,0,0.014,0,0.01,0.01,1573,693
0.15,0.26,1.52,0,0,0.54,0,0,0,0,0,0.01,0,0,0.01,0.01,1573,693
0.09,0.3,1.61,0.017,0.021,0.008,0.041,0.008,0,0,0.014,0,0,0,0.01,0.01,1573,733
0.12,0.23,0.91,0.69,0.49,0.4,0.061,0.3,0,0,0,0.043,0,0,0.01,0.01,1573,703
0.12,0.23,0.91,0.69,0.49,0.4,0.061,0.3,0,0,0,0.043,0,0,0.01,0.01,1573,713
0.15,0.31,0.98,0.05,0.62,0.51,0.08,0.35,0,0,0,0,0,0,0.01,0.01,1573,703
0.11,0.63,0.55,0,1.95,0.58,0.33,0,0.39,0,0.12,0,0,0,0.01,0.01,1573,733
0.16,0.32,1.41,1,0,0.35,0,0,0,0,0,0.026,0,0,0.01,0.01,1573,683
0.085,0.25,0.47,2.78,1.1,0.24,0.08,0,0,0,0,0,0,0,0.01,0.01,1573,723
0.1,0.28,0.47,2.34,1.32,0,0,0.87,0,0,0.046,0,0,0,0.01,0.01,1573,673
0.11,0.22,0.52,4.93,0.49,0.53,0.07,0,0,0,0,0,0,0,0.01,0.01,1573,673
0.13,0.25,0.46,0,2.72,1.01,0.007,0,0,0,0,0,0,0,0.01,0.01,1573,713
0.13,0.32,1.3,0,0,0,0,0,0,0,0,0.048,0,0,0.01,0.01,1573,713
0.23,0.43,1.53,0,0,0,0,0,0,0,0.2,0,0,0,0.01,0.01,1573,713
0.11,0.29,0.38,0.4,0.5,0,0,0.35,0,0,0,0,0,0,0.01,0.01,1573,733
0.075,0.3,0.53,0,0,0,0,0.29,0,0,0.019,0,0,0,0.01,0.01,1573,773
0.1,0.3,0.5,0,0.96,0.26,0,0,0,0.64,0,0,0,0,0.01,0.01,1573,713
0.11,0.41,0.35,0,2.46,0.38,0.13,0,0,0.46,0,0,0,0,0.01,0.01,1573,713
0.31,0.15,0.52,0,0.86,0.19,0,0,0,0,0,0,0,0,0.01,0.01,1573,643
0.44,0.32,0.64,1.66,0.82,0.2,0,0,0,0,0,0,0,0,0.01,0.01,1573,573
0.41,0.26,0.99,0,1.06,0.16,0,0,0,0,0,0,0,0,0.01,0.01,1573,593
0.29,1.15,1.17,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1573,653
0.16,0.78,1.2,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1573,653
0.18,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1573,713
0.16,0.36,1.53,0.006,0.003,0,0,0,0,0,0,0,0,0,0.01,0.01,1573,693
0.157,0.47,1.42,0,0,0,0,0,0,0.02,0,0.031,0.005,0,0.01,0.01,1573,683
0.07,0.37,1.09,0,0,0,0.08,0,0,0.0012,0.015,0,0.009,0,0.01,0.01,1573,733
0.12,0.31,1.43,0.012,0.013,0.002,0,0,0,0.053,0.001,0.001,0,0,0.01,0.01,1573,723
0.12,0.3,0.45,2.62,1.01,0.23,0.064,0,0,0,0,0,0,0,0.01,0.01,1573,663
0.26,0.22,1.51,1.05,0.24,0.55,0,0,0,0.033,0,0,0,0,0.01,0.01,1573,633
0.2,0.32,1.64,0,0,0,0.16,0,0,0,0,0,0.016,0,0.01,0.01,1623,668
0.14,0.38,1.53,0.85,0.37,0.34,0.012,0,0,0.035,0,0,0,0,0.01,0.01,1623,693
0.14,0.35,1.41,0,0,0.5,0.076,0,0,0,0,0,0,0,0.01,0.01,1623,713
0.22,0.46,1.34,0.14,0.1,0.02,0,0.1,0,0,0,0,0,0,0.01,0.01,1623,693
0.17,0.25,0.47,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1573,723
0.18,0.36,1.3,0,0,0,0.065,0.3,0,0,0,0,0,0,0.01,0.01,1623,703
0.08,0.43,1.27,0,0,0,0.005,0,0,0,0,0,0,0,0.01,0.01,1573,733
0.13,0.38,1.34,0,0,0,0,0,0,0.03,0.007,0.034,0,0,0.01,0.01,1573,698
0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1623,780
0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1623,749
0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1623,683
0.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1623,658
0.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1623,636
0.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1623,532
1.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1623,422
0.11,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1623,759
0.11,0.22,0.46,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1623,751
0.11,0.56,0.47,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1623,753
0.12,1.1,0.43,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1623,743
0.12,1.64,0.4,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1623,734
0.11,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1623,774
0.11,0.21,1.06,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1623,736
0.12,0.21,2.05,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1623,700
0.11,0,0,1.07,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1623,762
0.14,0,0,2.43,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1623,721
0.11,0,0,3.49,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1623,722
0.16,0,0,5.06,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1623,674
0.14,0,0,7.02,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1623,640
0.1,0,0,9.11,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1623,626
0.11,0.22,0.35,0,0.47,0,0,0,0,0,0,0,0,0,0.01,0.01,1623,759
0.1,0.23,0.35,0,1,0,0,0,0,0,0,0,0,0,0.01,0.01,1623,746
0.1,0.23,0.35,0,1.97,0,0,0,0,0,0,0,0,0,0.01,0.01,1623,745
0.09,0.22,0.37,0,3.36,0,0,0,0,0,0,0,0,0,0.01,0.01,1623,700
0.11,0.23,0.4,0,0,0,0,0.42,0,0,0,0,0,0,0.01,0.01,1623,707
0.12,0.16,0.45,0,0,0.48,0,0,0,0,0,0,0,0,0.01,0.01,1623,752
0.11,0.23,0.43,0,0,0.96,0,0,0,0,0,0,0,0,0.01,0.01,1623,752
0.11,0.22,0.37,0,0,1.66,0,0,0,0,0,0,0,0,0.01,0.01,1623,731
0.11,0.23,0.35,0,0,0,0,0,0,0,0.1,0,0,0,0.01,0.01,1623,707
0.11,0.23,0.41,0,0,0,0.1,0,0,0,0,0,0,0,0.01,0.01,1623,716
0.11,0.23,0.42,0,0,0,0,0,0,0,0,0.095,0,0,0.01,0.01,1623,707
0.17,0.22,0.4,0,0,0,0,0,0,0,0,0.11,0,0,0.01,0.01,1623,718
0.11,0.23,0.42,0,0,0,0,0,0,0.087,0,0,0,0,0.01,0.01,1623,715
0.1,0.23,0.41,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1623,705
0.1,0.01,0.41,0.02,0.03,0,0,0.18,0,0.005,0,0,0,0,0.01,0.01,1623,706
0.11,0.02,0.61,0.02,0.03,0,0,0.15,0,0.005,0,0,0,0,0.01,0.01,1623,698
0.14,0.25,0.58,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1623,721
0.14,0.09,0.96,0.06,0.07,0,0,0.18,0,0.054,0,0,0,0,0.01,0.01,1623,673
0.11,0.29,1.47,0,0,0,0,0,0,0.035,0,0.027,0,0,0.01,0.01,1623,771
0.09,0.24,1.15,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1623,700
0.14,0.23,0.65,0.02,0.02,0,0,0.16,0,0.008,0,0,0,0,0.01,0.01,1623,704
0.13,0.23,1.18,0.04,0.04,0,0,0.13,0,0.018,0,0,0,0,0.01,0.01,1623,674
0.15,0.28,0.97,0.02,0.01,0,0,0,0,0,0,0,0,0,0.01,0.01,1623,649
0.13,0.41,1.08,0.02,0.02,0,0,0.16,0,0.052,0,0,0,0,0.01,0.01,1623,680
0.15,0.4,1.19,0.09,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1623,704
0.09,0.54,1.34,0.44,0.96,0,0,0.32,0,0,0,0,0,0,0.01,0.01,1623,720
0.16,0.45,1.18,0.02,0.02,0,0,0.21,0,0.049,0,0,0,0,0.01,0.01,1623,671
0.15,0.42,1.21,0.06,0.04,0,0,0.14,0,0.051,0,0,0,0,0.01,0.01,1623,678
0.19,0.41,1.17,0,0.06,0,0,0,0,0,0,0,0,0,0.01,0.01,1623,700
0.22,0.12,1.08,0,0,0,0,0,0,0,0.01,0,0,0,0.01,0.01,1623,666
0.16,0.41,1.22,0.02,0,0,0,0.08,0,0,0,0,0,0,0.01,0.01,1623,692
0.14,0.53,1.12,0.06,0.04,0,0,0.06,0,0.04,0,0,0,0,0.01,0.01,1623,680
0.18,0.47,1.4,0.04,0.05,0,0,0,0,0.061,0,0,0,0,0.01,0.01,1623,643
0.18,0.38,1.34,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1623,692
0.17,0.34,1.31,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1623,700
0.13,0.48,1.4,0.03,0.04,0,0,0.15,0,0.023,0,0,0,0,0.01,0.01,1623,658
0.12,0.35,1.38,0.04,0.18,0,0,0,0,0.078,0,0.167,0,0,0.01,0.01,1623,647
0.09,0.37,1.34,0.02,0,0,0.06,0.11,0,0,0,0,0,0,0.01,0.01,1623,693
0.17,0.24,1.34,0.04,0.02,0,0,0.21,0,0.027,0,0,0,0,0.01,0.01,1623,655
0.18,0.47,1.4,0.04,0.05,0,0,0.17,0,0.061,0,0,0,0,0.01,0.01,1623,643
0.19,0.04,1,0.02,0.62,0,0,0,0,0,0,0,0,0,0.01,0.01,1623,705
0.16,0.51,1.1,0.04,0.06,0.01,0.011,0,0,0.047,0,0,0,0,0.01,0.01,1623,679
0.16,0.45,1.12,0.04,0.06,0.02,0.011,0,0,0.017,0,0,0,0,0.01,0.01,1623,700
0.11,0.42,1.12,0.47,0.27,0.16,0.13,0.07,0,0.047,0.015,0,0,0,0.01,0.01,1623,675
0.16,0.43,1.31,0.04,0.06,0.02,0.017,0,0,0.05,0,0,0,0,0.01,0.01,1623,692
0.16,0.46,1.35,0,0,0,0,0.15,0,0.02,0,0,0,0,0.01,0.01,1623,672
0.19,0.23,1.25,0.66,0.07,0.54,0,0,0,0,0,0,0,0,0.01,0.01,1623,645
0.13,0.48,1.37,0,0.22,0,0.13,0,0,0.022,0,0,0,0,0.01,0.01,1623,693
0.15,0.53,1.2,0.09,0.03,0,0,0,0,0.08,0,0,0,0,0.01,0.01,1623,664
0.21,0.48,1.19,0.06,0.05,0.01,0.009,0,0,0.1,0,0,0,0,0.01,0.01,1623,671
0.11,0.17,1.24,0.21,0.18,0.15,0,0,0,0.029,0,0,0,0,0.01,0.01,1623,717
0.12,0.45,1.17,0,0.32,0.25,0.14,0,0,0,0,0,0,0,0.01,0.01,1623,679
0.07,0.2,0.75,0.43,0.51,0.11,0.08,0.21,0,0.01,0,0,0,0,0.01,0.01,1623,688
0.15,0.35,1.28,0.47,0.08,0.21,0.1,0,0,0,0,0,0,0,0.01,0.01,1623,700
0.2,0.4,1.12,0.05,0.09,0.01,0.009,0,0,0.048,0,0,0,0,0.01,0.01,1623,660
0.15,0.26,1.02,0.6,0.1,0.37,0.08,0,0,0,0,0,0,0,0.01,0.01,1623,700
0.11,0.37,1.34,0.47,0.27,0,0.1,0,0,0.017,0,0,0,0,0.01,0.01,1623,667
0.11,0.48,1.2,0.08,0.05,0,0,0,0,0.001,0,0,0,0,0.01,0.01,1623,671
0.17,0.38,1.31,0.04,0,0.01,0.04,0.11,0,0,0,0,0,0,0.01,0.01,1623,672
0.14,0.26,1.28,0.86,0.5,0.46,0,0,0,0,0,0,0,0,0.01,0.01,1623,685
0.18,0.4,1.16,0,0.08,0,0.12,0,0,0,0,0,0,0,0.01,0.01,1623,698
0.07,0.5,1.49,0.5,0.12,0.3,0,0,0,0,0,0,0,0,0.01,0.01,1623,700
0.08,0.41,1.45,0.49,0.29,0.39,0,0,0,0,0,0.15,0,0,0.01,0.01,1623,694
0.13,0.47,1.44,0.1,0.19,0,0,0,0,0,0,0.15,0,0,0.01,0.01,1623,671
0.07,0.49,1.49,0.57,0.12,0.28,0,0,0,0,0,0,0,0,0.01,0.01,1623,708
0.15,0.28,0.92,0.08,0.04,0.46,0.04,0,0,0,0,0,0,0,0.01,0.01,1623,700
0.13,0.45,1.08,0.05,0.32,0,0.15,0,0,0.019,0,0,0,0,0.01,0.01,1623,731
0.13,0.46,1.22,0.08,0,0,0.1,0,0,0,0,0,0,0,0.01,0.01,1623,704
0.06,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1223,766
0.3,0.2,0.7,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1153,666
0.38,0.2,0.7,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1133,633
0.4,0.2,0.7,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1123,623
0.44,0.28,0.81,0,0.14,0.04,0,0.12,0,0,0,0,0,0,0.01,0.01,1123,593
0.51,0.75,0.3,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1103,613
0.52,0.2,0.7,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1093,515
0.56,0.75,0.3,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1093,591
0.6,0.2,0.72,0.2,0.17,0.03,0,0.12,0,0,0,0,0,0,0.01,0.01,1103,545
0.61,0.75,0.3,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1103,573
0.68,0,0.7,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1093,531
0.75,0.33,0.7,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1073,506
0.86,0.2,0.6,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1093,485
0.96,0.2,0.6,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1053,466
0.28,0.2,1.2,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1143,643
0.36,0.2,1.2,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1133,624
0.15,0.25,1.4,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1223,685
0.28,0.2,1.5,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1133,633
0.36,0.2,1.5,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1123,603
0.3,0.15,1.8,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1133,623
0.38,0.25,1.8,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1133,596
0.46,0.25,1.8,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1123,568
0.27,0.2,1.55,0,0,0.28,0,0,0,0,0,0,0,0,0.01,0.01,1118,643
0.3,0.2,1.55,0,0,0.28,0,0,0,0,0,0,0,0,0.01,0.01,1118,629
0.32,0.18,1.5,0,0,0.27,0,0,0,0,0,0,0,0,0.01,0.01,1118,625
0.35,0.2,1.55,0,0,0.28,0,0,0,0,0,0,0,0,0.01,0.01,1118,606
0.37,0.18,1.5,0,0,0.27,0,0,0,0,0,0,0,0,0.01,0.01,1118,600
0.38,0.25,1.5,0,0,0.45,0,0,0,0,0,0,0,0,0.01,0.01,1118,603
0.22,0.21,1.1,0.18,0.6,0.02,0.08,0.3,0,0,0,0,0,0,0.01,0.01,1153,693
0.16,0.25,1.15,0,0.95,0,0,0,0,0,0,0,0,0,0.01,0.01,1143,670
0.2,0.25,1.25,0.15,1.15,0.02,0,0,0,0,0,0,0,0,0.01,0.01,1143,655
0.19,0.2,1.6,0.55,0,0.25,0,0,0,0,0,0,0,0,0.01,0.01,1143,695
0.27,0.24,1.35,0.75,0.45,0.2,0,0,0,0,0,0,0,0,0.01,0.01,1123,629
0.33,0.24,1.35,0.75,0.45,0.2,0,0,0,0,0,0,0,0,0.01,0.01,1123,606
0.37,0.24,1.35,0.75,0.45,0.2,0,0,0,0,0,0,0,0,0.01,0.01,1123,593
0.38,0.25,1.4,0.75,0.5,0.2,0,0,0,0,0,0,0,0,0.01,0.01,1123,573
0.43,0.24,1.35,0.75,0.45,0.2,0,0,0,0,0,0,0,0,0.01,0.01,1123,566
0.4,1.75,0.85,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1183,613
0.54,1.9,0.85,0.16,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1183,560
0.59,1.9,0.85,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1183,533
0.62,1.9,0.85,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1183,523
0.55,1.5,0.75,0,0.7,0,0,0,0,0,0,0,0,0,0.01,0.01,1118,546
0.45,3.4,0.6,0,8.5,0,0,0,0,0,0,0,0,0,0.01,0.01,1323,450
0.6,1.9,0.85,0,0.3,0.25,0,0,0,0,0,0,0,0,0.01,0.01,1183,523
0.17,0.25,0.6,0,0,0.3,0,0,0,0,0,0,0,0,0.01,0.01,1198,720
0.24,0.3,0.9,0,0,0.23,0,0,0,0,0,0,0,0,0.01,0.01,1173,680
0.32,0.3,0.8,0,0,0.26,0,0,0,0,0,0,0,0,0.01,0.01,1203,647
0.4,0.3,0.8,0,0,0.26,0,0,0,0,0,0,0,0,0.01,0.01,1083,603
0.48,0.25,0.8,0,0,0.26,0,0,0,0,0,0,0,0,0.01,0.01,1083,596
0.22,0.25,0.6,0,0,0.5,0,0,0,0,0,0,0,0,0.01,0.01,1123,683
0.38,0.3,0.8,0,0,0.53,0,0,0,0,0,0,0,0,0.01,0.01,1093,600
0.55,0.2,0.65,0.65,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1103,543
0.36,0.2,0.8,0.85,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1123,633
0.43,0.2,0.8,0.85,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1123,610
0.16,0.25,0.6,1.5,0.2,0.05,0,0,0,0,0,0,0,0,0.01,0.01,1113,647
0.3,0.32,0.51,3.03,0.07,0,0,0,0,0.032,0.01,0,0,0,0.01,0.01,1123,613
0.1,0.26,0.53,3.65,0.05,0,0,0.07,0,0.045,0,0,0,0,0.01,0.01,1113,733
0.33,0.23,0.74,3.47,0.07,0.11,0,0,0,0,0,0,0,0,0.01,0.01,1113,593
0.4,0.26,0.62,3.45,0.23,0.1,0,0,0,0,0,0,0,0,0.01,0.01,1133,550
0.1,0.2,0.4,4.8,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1073,683
0.09,0.25,0.45,9,0.1,0.04,0,0,0,0.03,0,0,0,0,0.01,0.01,1063,613
0.16,0.25,1.4,1.5,0.2,0.05,0,0,0,0,0,0,0,0,0.01,0.01,1113,626
0.24,0.2,0.55,1.8,0.2,0.25,0,0,0,0,0,0,0,0,0.01,0.01,1103,646
0.4,0.15,0.48,1.75,0.15,0.25,0,0,0,0,0,0,0,0,0.01,0.01,1118,590
0.18,0.27,0.47,3.33,0.18,0.23,0,0,0,0,0,0,0,0,0.01,0.01,1053,663
0.1,0.2,0.4,5,0,0.2,0,0,0,0,0,0,0,0,0.01,0.01,1073,670
0.15,0.2,0.8,0.85,0.63,0.05,0,0,0,0,0,0,0,0,0.01,0.01,1198,700
0.16,0.2,0.8,1.15,0.85,0.05,0,0,0,0,0,0,0,0,0.01,0.01,1198,687
0.35,0.23,0.75,1.3,0.65,0,0,0,0,0,0,0,0,0,0.01,0.01,1123,605
0.4,0.23,0.75,1.3,0.65,0,0,0,0,0,0,0,0,0,0.01,0.01,1123,583
