C,Si,Mn,Ni,Cr,Mo,V,Cu,W,Al,Ti,Nb,N,Co,P,S,TAUST (K),Ms (K)
0.47,0.35,0.82,0.04,1.2,0,0.11,0.14,0,0,0,0,0,0,0.01,0.01,1153,573
0.47,0.35,0.82,0.04,1.2,0,0.11,0.14,0,0,0,0,0,0,0.01,0.01,1323,573
0.47,0.35,1.04,0.05,1.2,0.05,0.12,0.16,0,0,0,0,0,0,0.01,0.01,1323,563
0.5,0.32,0.8,0.11,1.04,0.24,0,0.17,0,0,0,0,0,0,0.01,0.01,1323,563
0.5,0.32,0.8,0.11,1.04,0.24,0,0.17,0,0,0,0,0,0,0.01,0.01,1123,563
0.55,0.22,0.98,0.01,1.02,0,0.11,0.07,0,0,0,0,0,0,0.01,0.01,1323,543
0.55,0.22,0.98,0.01,1.02,0,0.11,0.07,0,0,0,0,0,0,0.01,0.01,1153,543
0.55,0.94,0.34,0.12,1.27,0.05,0.18,0,2.1,0,0,0,0,0,0.01,0.01,1223,548
0.55,0.94,0.34,0.12,1.27,0.05,0.18,0,2.1,0,0,0,0,0,0.01,0.01,1153,583
0.58,0.89,0.81,0.06,1.27,0.02,0.11,0.14,0,0,0,0,0,0,0.01,0.01,1223,528
0.58,0.89,0.81,0.06,1.27,0.02,0.11,0.14,0,0,0,0,0,0,0.01,0.01,1143,543
0.73,1.62,0.73,0.12,0.1,0,0.01,0.19,0,0,0,0,0,0,0.01,0.01,1118,488
1.03,0.17,0.22,0.1,0.07,0.01,0,0.04,0,0,0,0,0,0,0.01,0.01,1133,433
1.04,0.26,0.33,0.31,1.53,0,0,0.2,0,0,0,0,0,0,0.01,0.01,1323,408
1.04,0.26,0.33,0.31,1.53,0,0,0.2,0,0,0,0,0,0,0.01,0.01,1133,518
1.06,0.28,0.97,0.13,1.05,0.03,0,0.25,1.15,0,0,0,0,0,0.01,0.01,1088,518
1.42,0.37,0.61,0,1.37,0,0.18,0.04,0,0,0,0,0,0,0.01,0.01,1133,493
0.44,0.22,0.8,0.26,1.04,0.04,0,0.17,0,0,0,0,0,0,0.01,0.01,1113,628
0.38,0.23,0.64,0.08,0.99,0.16,0,0.17,0,0,0,0,0,0,0.01,0.01,1123,640
0.4,0.25,0.6,2.55,0.65,0.55,0,0,0,0,0,0,0,0,0.01,0.01,1103,564
0.22,0.3,0.66,0.15,0.56,0.44,0,0.18,0,0.049,0,0,0.02,0,0.01,0.01,1323,698
0.88,0.3,0.66,0.15,0.56,0.44,0,0.18,0,0.049,0,0,0.02,0,0.01,0.01,1103,422
0.38,0.2,0.7,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,1133,629
0.43,0.41,0.82,0.04,1.22,0,0.11,0.14,0,0,0,0,0,0,0.01,0.01,1153,587
0.16,0.22,1.12,0.12,0.99,0.02,0.01,0,0,0.015,0,0,0,0,0.01,0.01,1113,673
0.41,0.26,0.86,1.28,0.71,0,0,0,0,0,0,0,0,0,0.01,0.01,1089,603
0.06,0.41,0.56,0.05,0.01,0.01,0,0.04,0,0,0,0,0.0071,0,0.01,0.01,1673,773
0.07,0.52,1.35,0.05,0.01,0.01,0,0.03,0,0,0,0,0.0094,0,0.01,0.01,1673,731
0.05,0.33,0.98,0.06,0.01,0.06,0,0.03,0,0,0,0,0.0045,0,0.01,0.01,1623,761
