Fe,Co,Ni,Al,Si,Cr,Nb,Mo,Ti,Cu,Mn,Zr,V,C,T,"phase (SS=0, SS+IM=1)"
18.18,18.18,18.18,18.18,0,18.18,0,0,0,0,0,0,0,9.09,25,1
16.67,16.67,16.67,16.67,0,16.67,0,0,0,0,0,0,0,16.67,25,1
15.38,15.38,15.38,15.38,0,15.38,0,0,0,0,0,0,0,23.08,25,1
19.6,19.6,19.6,19.6,0,19.6,2,0,0,0,0,0,0,0,25,0
19,19,19,19,0,19,5,0,0,0,0,0,0,0,25,0
18.2,18.2,18.2,18.2,0,18.2,9,0,0,0,0,0,0,0,25,1
17.4,17.4,17.4,17.4,0,17.4,13,0,0,0,0,0,0,0,25,1
20.5,9.9,17.6,17.9,0,21.7,0,12.4,0,0,0,0,0,0,25,1
15.6,18.1,24.4,24.5,0,12.3,0,5.1,0,0,0,0,0,0,25,1
15.8,24.2,18,18.3,0,15.3,0,8.4,0,0,0,0,0,0,25,1
15.1,29.6,15.3,15.9,0,15.4,0,8.7,0,0,0,0,0,0,25,1
11.8,19.6,19.6,19.6,0,19.6,0,9.8,0,0,0,0,0,0,25,1
18.2,18.2,18.2,18.2,0,18.2,0,9.1,0,0,0,0,0,0,25,1
25.6,16,16.9,16.9,0,16.5,0,8.3,0,0,0,0,0,0,25,1
29.6,13.5,15.7,17.4,0,15.5,0,7.7,0,0,0,0,0,0,25,1
21.5,21.6,0,21.8,0,22.3,0,12.8,0,0,0,0,0,0,25,1
19.8,19.7,9.6,20.7,0,19.6,0,10.6,0,0,0,0,0,0,25,1
18.2,18.2,18.2,18.2,0,18.2,0,9,0,0,0,0,0,0,25,1
16.7,16.7,25,16.7,0,16.7,0,8.2,0,0,0,0,0,0,25,1
15.4,15.4,30.8,15.4,0,15.4,0,7.6,0,0,0,0,0,0,25,1
21.9,21.1,19.1,16.7,0,21.2,0,0,0,0,0,0,0,0,25,0
19.9,20.1,18.5,17.6,3.7,20.2,0,0,0,0,0,0,0,0,25,0
22.9,17.2,14.1,11.5,8.9,25.4,0,0,0,0,0,0,0,0,25,0
21,17.2,13.1,10.5,13.8,24.4,0,0,0,0,0,0,0,0,25,0
19.7,19.7,14,13.5,16.1,20.1,0,0,0,0,0,0,0,0,25,1
19.8,18.3,16.9,17.3,17.3,11.1,0,0,0,0,0,0,0,0,25,1
18.2,18.2,18.2,0,0,18.2,0,0,9.1,18.2,0,0,0,0,25,0
18.2,18.2,18.2,13.5,0,18.2,0,0,9.1,4.5,0,0,0,0,25,0
18.2,18.2,18.2,9.1,0,18.2,0,0,9.1,9.1,0,0,0,0,25,0
18.2,18.2,18.2,4.5,0,18.2,0,0,9.1,13.5,0,0,0,0,25,0
18.2,18.2,18.2,18.2,0,18.2,0,0,9.1,0,0,0,0,0,25,0
20,20,20,20,0,20,0,0,0,0,0,0,0,0,25,0
18.2,18.2,18.2,18.2,0,18.2,0,0,9.1,0,0,0,0,0,25,0
16.7,16.7,16.7,16.7,0,16.6,0,0,16.6,0,0,0,0,0,25,0
15.4,15.4,15.4,15.4,0,15.4,0,0,23,0,0,0,0,0,25,0
16.7,0,16.7,16.7,0,0,0,0,16.7,0,0,16.7,16.7,0,25,0
16.7,0,16.7,0,0,0,0,16.7,16.7,0,0,16.7,16.7,0,25,1
14.3,14.3,14.3,14.3,0,0,0,0,14.3,0,0,14.3,14.3,0,25,0
19.4,19.3,19.3,0,0,21.3,0,0,0,0,20.7,0,0,0,25,0
19.5,19.3,18.2,2.4,0,20.9,0,0,0,0,19.7,0,0,0,25,0
19.1,19.3,18,4.6,0,20.9,0,0,0,0,18.1,0,0,0,25,0
18.3,18.2,17.7,7.6,0,20,0,0,0,0,18.2,0,0,0,25,0
17.5,18,17.8,9.3,0,19,0,0,0,0,18.4,0,0,0,25,0
17.4,17.6,17.6,10.4,0,19,0,0,0,0,18,0,0,0,25,0
17.6,17.1,17.6,11.9,0,17.9,0,0,0,0,17.9,0,0,0,25,0
17.2,17,17.2,13.1,0,18.2,0,0,0,0,17.3,0,0,0,25,0
16.8,16.9,17.2,14,0,17.9,0,0,0,0,17.2,0,0,0,25,0
16.8,16.9,16.7,14.4,0,18.3,0,0,0,0,16.9,0,0,0,25,0
16.2,16.1,16.3,17.5,0,17.4,0,0,0,0,16.4,0,0,0,25,0
15.5,15.4,15.5,21.3,0,16.4,0,0,0,0,15.9,0,0,0,25,0
20.1,19.9,20,0,0,20.6,0,0,0,0,19.5,0,0,0,25,0
19.6,19.3,19.5,0,0,20,0,0,0,0,17,0,4.6,0,25,0
18.4,18.9,18,0,0,18.8,0,0,0,0,17.8,0,9.1,0,25,0
18.2,17.2,17.2,0,0,17.5,0,0,0,0,16.5,0,13.3,0,25,1
17.2,16.2,16.5,0,0,17,0,0,0,0,16.1,0,17,0,25,1
34.9,7,11.7,0,0,23.3,0,0,0,0,23.3,0,0,0,25,0
33.3,11.1,11.1,0,0,22.2,0,0,0,0,22.2,0,0,0,25,0
25,0,25,25,0,25,0,0,0,0,0,0,0,0,25,0
20,0,20,20,0,20,0,20,0,0,0,0,0,0,25,0
23.8,0,23.8,23.8,0,23.8,0,4.8,0,0,0,0,0,0,25,0
22.2,0,22.2,22.2,0,22.2,0,11.2,0,0,0,0,0,0,25,1
20.8,0,20.8,20.8,0,20.8,0,16.8,0,0,0,0,0,0,25,1
25,25,0,0,0,25,0,0,0,25,0,0,0,0,25,0
20,20,0,20,0,20,0,0,0,20,0,0,0,0,25,0
23.3,23.3,0,6.8,0,23.3,0,0,0,23.3,0,0,0,0,25,0
22.2,22.2,0,11.2,0,22.2,0,0,0,22.2,0,0,0,0,25,0
20.8,20.8,0,16.8,0,20.8,0,0,0,20.8,0,0,0,0,25,0
18.9,18.9,0,24.4,0,18.9,0,0,0,18.9,0,0,0,0,25,0
18.2,18.2,0,27.2,0,18.2,0,0,0,18.2,0,0,0,0,25,0
17.2,17.2,0,31.2,0,17.2,0,0,0,17.2,0,0,0,0,25,0
16.7,16.7,0,33.2,0,16.7,0,0,0,16.7,0,0,0,0,25,0
15.9,15.9,0,36.4,0,15.9,0,0,0,15.9,0,0,0,0,25,0
15.4,15.4,0,38.4,0,15.4,0,0,0,15.4,0,0,0,0,25,0
14.7,14.7,0,41.2,0,14.7,0,0,0,14.7,0,0,0,0,25,0
14.3,14.3,0,42.8,0,14.3,0,0,0,14.3,0,0,0,0,25,0
20.8,20.9,20.5,0,0,21.4,0,0,0,16.5,0,0,0,0,25,0
18,17.7,19,9.4,0,18.2,0,0,0,17.7,0,0,0,0,25,0
16.8,17,16.8,16.7,0,17.2,0,0,0,15.6,0,0,0,0,25,0
15.6,15.5,15.3,24.3,0,15.6,0,0,0,13.7,0,0,0,0,25,0
15.5,13.8,14.8,28.5,0,13.9,0,0,0,13.5,0,0,0,0,25,0
14.1,13,13.4,36.3,0,11.8,0,0,0,11.3,0,0,0,0,25,0
13.5,12.6,12.1,38.9,0,11.2,0,0,0,11.7,0,0,0,0,25,0
