Al,Co,Cr,Cu,Fe,Ni,V,Mo,Mn,Sn,W,Zr,Ti,Ta,Nb,T(K),E
16.799,15.553,17.628,0,16.412,15.616,17.993,0,0,0,0,0,0,0,0,298.15,209
0,0,0,0,0,0,0,25.847,0,0,49.528,24,0,0,0,298.15,157.5717
0,0,0,0,0,0,0,29.526,0,0,0,0,14.731,55.688,0,298.15,159.9126
0,0,0,0,0,0,0,0,0,0,40.299,19.997,0,39.665,0,298.15,179.9365
0,0,0,0,0,0,0,0,0,0,0,28.488,14.948,56.508,0,298.15,120.8907
0,0,0,0,0,0,0,40.79,0,0,0,38.783,20.35,0,0,298.15,130.5883
0,0,0,0,0,0,0,20.816,0,0,39.887,0,0,39.259,0,298.15,265.0655
0,0,0,0,0,0,0,29.267,0,0,56.079,0,14.601,0,0,298.15,192.246
0,0,0,0,0,0,0,0,0,0,44.531,0,11.594,43.831,0,298.15,182.8289
0,0,0,0,0,0,0,0,0,0,56.896,28.234,14.814,0,0,298.15,121.5248
0,0,0,0,0,0,0,26.05,0,0,0,24.77,0,49.132,0,298.15,181.26109
0,0,0,0,0,0,0,17.382,0,0,33.307,16.528,0,32.783,0,298.15,196.7513
0,0,0,0,0,0,0,22.904,0,0,43.889,21.779,11.428,0,0,298.15,159.15988
0,0,0,0,0,0,0,18.863,0,0,36.147,0,9.412,35.578,0,298.15,196.83719
0,0,0,0,0,0,0,23.063,0,0,0,21.93,11.508,43.499,0,298.15,161.75
0,0,0,0,0,0,0,0,0,0,36.48,18.105,9.501,35.911,0,298.15,156.39548
0,0,0,0,0,0,0,15.995,0,0,30.649,15.209,7.98,30.167,0,298.15,152.04969
2.299,0,0,0,0,0,17.29,32.563,0,0,0,0,16.315,0,31.533,298.15,163.6
1.784,0,0,0,0,0,13.418,0,0,0,0,0,12.663,47.663,24.472,298.15,130
1.439,0,0,0,0,0,13.473,0,0,0,0,0,12.659,47.857,24.572,298.15,184
4.477,0,0,0,0,0,16.904,31.836,0,0,0,0,15.954,0,30.829,298.15,158.4
3.492,0,0,0,0,0,13.185,0,0,0,0,0,12.444,46.833,24.046,298.15,126.7
4.121,0,0,0,0,0,12.985,24.456,0,0,0,0,12.313,46.125,0,298.15,174.1
6.572,0,0,0,0,0,16.571,31.21,0,0,0,0,15.424,0,30.223,298.15,153.8
12.344,0,0,0,0,0,15.537,29.262,0,0,0,0,14.519,0,28.337,298.15,142.4
11.017,0,10.615,0,0,0,20.8,0,0,0,0,0,19.633,0,37.935,298.15,124.1
8.575,0,0,0,0,0,16.191,30.492,0,0,0,0,15.214,0,29.528,298.15,149.6
6.7,0,0,0,0,0,12.651,23.825,0,0,0,0,11.887,44.936,0,298.15,165.8
6.751,0,0,0,0,0,12.747,0,0,0,0,0,11.978,45.277,23.247,298.15,121
12.337,0,0,0,0,0,23.293,0,0,0,0,0,21.888,0,42.482,298.15,104.8
0,18.459,16.286,0,0,0,0,30.05,0,0,0,0,5.944,0,29.1,298.15,220.1
0,0,0,0,0,0,6.003,3.684,0,0,0,35.512,18.634,0,36.167,298.15,106
0,0,0,0,0,0,5.514,10.384,0,0,0,33.07,17.352,0,33.68,298.15,118.4
0,0,0,0,0,0,16.361,9.257,0,0,0,29.299,15.242,0,29.84,298.15,119.9
0,0,0,0,0,0,5.179,16.298,0,0,0,30.876,16.201,0,31.446,298.15,129.4
0,0,0,0,0,0,15.384,14.487,0,0,0,27.55,14.521,0,28.058,298.15,129.2
0,0,0,0,0,0,4.86,21.358,0,0,0,29.012,15.223,0,29.547,298.15,139.4
0,0,0,0,0,0,14.562,19.185,0,0,0,26.077,13.619,0,26.558,298.15,137.7
0,0,0,0,0,0,4.095,33.581,0,0,0,24.483,12.906,0,24.935,298.15,164.2
0,0,0,0,0,0,12.515,30.553,0,0,0,22.411,11.697,0,22.824,298.15,159.4
0,0,0,0,0,0,3.938,36.848,0,0,0,23.283,12.217,0,23.713,298.15,171
0,0,0,0,0,0,10.871,20.474,0,0,0,0,10.215,38.614,19.826,298.15,172.8
0,0,0,0,0,0,6.119,0,0,0,0,36.89,19.421,0,37.57,298.15,99.2
0,0,0,0,0,0,17.709,33.352,0,0,0,0,16.64,0,32.298,298.15,169.5
0,0,0,0,0,0,13.445,25.322,0,0,0,24.077,12.634,0,24.521,298.15,149.2
0,0,0,0,0,0,0,29.256,0,0,0,27.818,14.596,0,28.331,298.15,154.5
0,0,0,0,0,0,13.559,25.537,0,0,0,0,12.74,48.164,0,298.15,189.8
0,0,0,0,0,0,13.67,0,0,0,0,0,12.845,48.555,24.93,298.15,133.8
0,0,0,0,0,0,3.751,28.141,0,0,0,26.757,14.1,0,27.251,298.15,152.9
0,0,0,0,0,0,4.464,27.985,0,0,0,26.609,13.842,0,27.1,298.15,152.7
0,0,0,0,0,0,7.203,27.13,0,0,0,25.797,13.597,0,26.273,298.15,151.6
0,0,0,0,0,0,10.451,26.162,0,0,0,24.876,13.177,0,25.334,298.15,150.3
0,20,20,0,20,20,0,0,20,0,0,0,0,0,0,300,193.5
0,20,20,0,20,20,0,0,20,0,0,0,0,0,0,500,186.5
0,20,20,0,20,20,0,0,20,0,0,0,0,0,0,1000,176.2
0,20,20,0,20,20,0,0,20,0,0,0,0,0,0,1250,149.3
0,20,20,0,20,20,0,0,20,0,0,0,0,0,0,1500,120.7
0,0,0,0,0,0,0,0,0,4,0,0,61,0,35,251,42
0,0,0,0,0,0,0,0,0,4,0,0,61,0,35,271,44
0,0,0,0,0,0,0,0,0,4,0,0,61,0,35,285,47
0,0,0,0,0,0,0,0,0,4,0,0,61,0,35,310,45
0,0,0,0,0,0,0,0,0,4,0,0,61,0,35,320,46.8
0,0,0,0,0,0,0,0,0,4,0,0,61,0,35,339,49
0,0,0,0,0,0,0,0,0,4,0,0,61,0,35,349,61.9
0,0,0,0,0,0,0,0,0,4,0,0,61,0,35,368,65.7
0,0,0,0,0,0,0,0,0,4,0,0,61,0,35,392,67
0,0,0,0,0,0,0,0,0,4,0,0,61,0,35,417,81
28.9,0,0,0,71.1,0,0,0,0,0,0,0,0,0,0,298,266
28.9,0,0,0,71.1,0,0,0,0,0,0,0,0,0,0,473,249
28.9,0,0,0,71.1,0,0,0,0,0,0,0,0,0,0,638,234
28.9,0,0,0,71.1,0,0,0,0,0,0,0,0,0,0,783,224
28.9,0,0,0,71.1,0,0,0,0,0,0,0,0,0,0,998,210
28.9,0,0,0,71.1,0,0,0,0,0,0,0,0,0,0,1123,194
28.6,71.4,0,0,0,0,0,0,0,0,0,0,0,0,0,298,298
28.6,71.4,0,0,0,0,0,0,0,0,0,0,0,0,0,473,281
28.6,71.4,0,0,0,0,0,0,0,0,0,0,0,0,0,638,274
28.6,71.4,0,0,0,0,0,0,0,0,0,0,0,0,0,783,264
28.6,71.4,0,0,0,0,0,0,0,0,0,0,0,0,0,998,245
28.6,71.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1123,240
28.6,71.4,0,0,0,0,0,0,0,0,0,0,0,0,0,1273,228
